State,LifeExpectancy,DiseaseBurden,SocialRisk,LONELINESS,FOODSTAMP,FOODINSECU,HOUSINSECU,SHUTUTILITY,LACKTRPT,EMOTIONSPT
Wisconsin,78.1,16.8,14.6,31.6419305413687,13.2397854954035,12.8015321756895,10.6663602315288,6.09043241402792,7.1916581545795,20.8300646918624
"North Dakota",77.9,16.8,13.4,29.904605722261,7.62072575017446,11.7583391486392,9.87355198883461,6.56650383810188,6.982135380321,21.4394975575715
Iowa,77.9,16.8,15.0,33.0729404309252,10.5836501901141,12.6873574144487,10.3731305449937,7.07756653992395,7.1867237008872,23.9946134347275
Florida,77.9,16.6,,,,,,,,
Maryland,77.8,17.3,17.6,35.5173581213307,13.0186301369863,16.5138747553816,14.9504109589041,9.40356164383562,8.54951076320939,25.1206849315068
Oregon,77.7,17.0,,,,,,,,
Illinois,77.5,16.6,16.3,33.9147518878101,12.9724379719525,14.3861380798274,12.4036677454153,7.64898867313916,7.68484358144552,25.1382551240561
Virginia,77.5,17.5,15.9,34.7464580559254,11.8711984021305,14.1533155792277,12.1922370173103,8.03556591211718,8.0685086551265,22.089533954727
"South Dakota",77.3,16.7,,,,,,,,
Montana,77.3,16.5,14.8,31.6719281437126,9.66249101796407,13.234874251497,10.6897245508982,7.70641916167665,8.34610778443114,22.2356886227545
Texas,77.1,17.0,,,,,,,,
Wyoming,76.8,16.0,,,,,,,,
Michigan,76.8,18.0,16.5,33.5485595528164,14.0971191056328,15.1661889064068,12.1833739429554,8.87228034972051,8.33310878601118,23.3327074673929
Arizona,76.7,16.9,18.9,32.9458777341559,14.5430734716769,20.0467190128996,15.70532809871,10.2652832305104,10.6903533370724,28.1026360067302
Maine,76.6,17.4,16.0,33.7311463590483,15.2527036770007,11.4995674116799,11.1963950973324,8.38521989906272,8.50677721701514,23.6987022350397
"District of Columbia",76.6,14.9,16.2,36.2,12.8,13.8,12.0,7.8,7.8,22.7
Delaware,76.5,17.4,16.1,33.146213592233,12.4616504854369,14.9414563106796,13.0483495145631,8.31805825242719,8.31912621359223,22.5688349514563
Kansas,76.5,17.0,14.8,31.4746537396122,7.8689404432133,13.6010734072022,12.1961218836565,9.02479224376731,7.46745152354571,21.6313019390582
Nevada,76.4,17.2,19.7,37.2282115869018,16.8113979848866,19.4977329974811,16.1289672544081,10.6181360201511,10.9587531486146,26.5851385390428
Georgia,75.9,17.4,19.0,38.0110019248303,14.9117718569547,18.5043561949144,15.9346266842265,10.2666903049336,9.96255698510789,25.1466619390133
"North Carolina",75.9,17.9,17.2,33.5759786476868,13.9833807829181,16.7982799525504,13.7849228944247,9.31418742586003,9.25809015421115,23.3462870699881
Alaska,75.8,16.5,17.4,34.4555062166963,10.7565275310835,16.0945381882771,13.7616341030195,9.21314387211368,10.3197158081705,27.3206039076377
Ohio,75.6,18.3,15.9,35.2674904735983,11.8938704409363,14.2010560696788,11.9784431137725,8.71758301578661,7.94312465977137,21.6291453456723
Indiana,75.4,18.5,15.8,33.4089762393664,9.06311234966266,15.318421824582,12.1346729246113,9.04961865649751,8.07084188911704,23.6650777354063
Missouri,75.2,17.9,15.8,32.4965258522264,11.3108628282499,14.3348230305007,13.1558799543305,9.70572500407764,8.7777197847007,20.6161311368455
"South Carolina",75.1,17.7,17.1,32.6923565688656,11.1188936647356,18.3009530928798,14.6079985049523,9.76368903008783,9.12236965053261,24.3795552233227
"New Mexico",74.5,16.9,20.7,34.9239705882353,18.8320220588235,22.6987132352941,18.4183455882353,12.6966544117647,11.8727573529412,25.1390808823529
Arkansas,73.9,18.8,18.7,35.0309366754617,12.1917216358839,19.2747031662269,15.5406002638522,11.3565633245383,10.2165897097625,27.5880606860158
Oklahoma,73.8,18.8,18.6,33.5633308439134,15.7258152850386,19.064002987304,15.0741598207618,11.0811799850635,9.98526263380632,25.6571072940005
Tennessee,73.8,19.2,,,,,,,,
Alabama,73.8,19.2,18.9,36.2752217622708,14.7523358959196,20.0160063079046,15.134989158289,10.4754385964912,10.2968657599054,25.4441159077469
Louisiana,73.8,19.5,21.8,37.3713562307354,19.6237780713342,23.2259797446059,17.9611404667547,13.2634302069573,11.8157419638926,29.2050858652576
Mississippi,72.6,19.1,21.0,37.2023095484316,14.2928300586005,23.2352981730438,18.1243709065839,12.1999655291279,12.4376766632196,29.5791451223716
"West Virginia",72.2,21.0,18.7,35.1892775229358,18.9260894495413,17.2070527522936,13.9073967889908,12.3143922018349,9.57448394495413,23.8549311926606
