State,LifeExpectancy,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE
Wisconsin,78.1,22.6890194075587,29.4784133469527,6.98227783452503,10.8926455566905,5.35022131426626,5.52248893428669,24.0414538644876,9.66048689138577,29.4933094994893,37.9006469186244,2.81595165134491
"North Dakota",77.9,23.5610607117934,30.8738311235171,7.26789951151431,10.1288206559665,5.63210048848569,5.81144452198186,21.4661549197488,9.21123517096999,30.4249825540823,37.9165387299372,2.85889741800419
Iowa,77.9,23.4993029150824,30.4675538656527,7.23307984790875,10.0182192648923,5.37072243346008,5.95491128010139,21.4558618504436,9.69432826362484,30.6383079847909,38.1757604562738,2.80259822560203
Florida,77.9,22.6272264013589,31.466424007118,7.35738898325649,9.74140580765186,5.70512820512821,6.24570897031465,19.4316266278411,10.5175604626709,33.1795195340937,33.4829491223813,2.98027986734611
Maryland,77.8,23.5061643835616,34.3279256360078,6.4693542074364,10.856457925636,5.00953033268102,5.41845401174168,20.4103326810176,11.2132681017613,33.2732093933464,36.8619765166341,3.03818003913894
Oregon,77.7,23.6973902728351,29.1183867141163,7.33570581257414,11.9462870699881,5.29634638196916,5.82631079478055,27.9226334519573,9.60268090154211,29.69162514828,33.704009489917,2.81243179122183
Illinois,77.5,22.296642394822,30.620523193096,6.90618932038835,9.99350053937433,5.1152238403452,5.80338457389428,21.2493932038835,9.86693635382956,31.5338727076591,36.2845604099245,2.78040722761597
Virginia,77.5,23.9341278295606,33.3438748335553,6.64310252996005,10.672396804261,5.31472703062583,5.72507323568575,22.8181091877497,11.2264846870839,33.805206391478,36.1529960053262,2.99335552596538
"South Dakota",77.3,22.7909351692484,30.2898450946644,7.65800344234079,10.4048192771084,5.75438898450947,6.09925415949512,21.9737808376363,10.1356282271945,29.3458405048767,35.8986804360298,3.0421686746988
Montana,77.3,24.4962634730539,29.0826586826347,7.43925748502994,11.3548023952096,5.45470658682635,6.37849101796407,25.6791856287425,8.5974371257485,27.5387305389222,32.817005988024,2.984
Texas,77.1,21.4272746309287,32.4352162077269,6.04605800439745,9.63191812375667,5.54692702334834,5.73673437336405,22.1263584964925,12.2085802533766,32.3803214323108,36.4829965448644,3.07163647785572
Wyoming,76.8,21.8354385964912,28.1266666666667,7.3559649122807,10.2514035087719,5.31912280701754,6.07789473684211,22.4466666666667,9.30368421052632,28.9038596491228,33.9250877192982,2.7959649122807
Michigan,76.8,25.4587931775835,32.0901676938512,7.52776264870288,11.5166260570446,5.67758348860542,7.01265586928479,27.8661459079834,9.81708470689408,30.3983517271033,37.1408341694138,2.98581052028092
Arizona,76.7,23.0005608524958,30.7961862030286,7.02170499158721,11.1497476163769,5.76421761076837,6.78597868760516,20.9159282108805,10.7688726864835,31.8725743129557,34.3704430734717,3.28132361189007
Maine,76.6,25.7583273251622,29.7138428262437,7.44844989185292,12.8158615717376,5.57829848594088,6.69488103821197,28.4084354722422,8.77829848594088,30.7410237923576,32.7552271088681,2.77937995674117
"District of Columbia",76.6,18.7,30.3,6.0,10.2,4.1,4.2,21.0,8.5,33.3,25.1,3.0
Delaware,76.5,23.3007766990291,32.9943689320388,7.0021359223301,10.8802912621359,5.24495145631068,5.79388349514563,22.0600970873786,10.7821359223301,34.9415533980582,35.5309708737864,2.97339805825243
Kansas,76.5,22.7502077562327,31.6556440443213,6.92832409972299,9.97860110803324,5.46977146814404,5.95228531855956,21.3204293628809,10.1301246537396,32.4783587257618,36.992243767313,2.83604570637119
Nevada,76.4,24.0207808564232,30.5482367758186,6.98646095717884,10.8574307304786,6.16845088161209,7.26801007556675,22.1058564231738,10.5775188916877,33.1176322418136,33.7044710327456,3.32348866498741
Georgia,75.9,22.834525377368,35.5367743896262,6.38029581602675,10.1631546955729,5.53320838820788,6.07125924425084,19.5012055516158,12.2822814304528,33.5090061797184,36.0222571168068,3.34018843075676
"North Carolina",75.9,24.5001660735469,34.3516132858837,6.77340450771056,11.0249940688019,5.74909845788849,6.61141162514828,25.3331198102017,10.8195729537367,31.5125622775801,36.8503558718861,3.29607354685647
Alaska,75.8,22.1013321492007,32.1308170515098,6.53658969804618,10.9810390763766,5.98960923623446,6.13952042628774,19.9759325044405,9.53796625222025,30.0660301953819,34.831838365897,3.29809058614565
Ohio,75.6,26.2089275993468,33.3184757757213,7.3649646162221,11.0900816548721,5.90092542188351,7.0430157866086,26.5432553075667,11.2482852476864,31.5108002177463,37.9377789874796,3.04627109417529
Indiana,75.4,25.2958345555882,34.8674097975946,7.0988853036081,11.2746113229686,5.77713405690818,7.16859782927545,25.6431651510707,11.4796127896744,33.4458052214726,38.5734379583456,3.04218245819888
