State,Disease,Prevalence
"North Carolina",DIABETES,10.8195729537367
Alaska,DIABETES,9.53796625222025
Ohio,DIABETES,11.2482852476864
Indiana,DIABETES,11.4796127896744
Missouri,DIABETES,10.399314956777
"South Carolina",DIABETES,11.7863390020557
"New Mexico",DIABETES,11.6715441176471
Arkansas,DIABETES,11.502308707124
Oklahoma,DIABETES,11.5568085636047
Tennessee,DIABETES,11.9410477266309
Alabama,DIABETES,12.7428543268283
Louisiana,DIABETES,13.397666226332
Mississippi,DIABETES,13.5489486384006
"West Virginia",DIABETES,12.85625
Hawaii,ARTHRITIS,19.4236459709379
Massachusetts,ARTHRITIS,22.6275926270713
"New Jersey",ARTHRITIS,19.0283451842275
"New York",ARTHRITIS,22.855777027027
Connecticut,ARTHRITIS,21.1539164129532
California,ARTHRITIS,19.755657017624
Minnesota,ARTHRITIS,19.9343468468468
"Rhode Island",ARTHRITIS,21.9491308325709
Utah,ARTHRITIS,23.1848117024588
"New Hampshire",ARTHRITIS,22.7583690987124
Colorado,ARTHRITIS,21.4962657091562
Idaho,ARTHRITIS,23.7451001821494
Washington,ARTHRITIS,23.3158218682114
Nebraska,ARTHRITIS,21.744506892895
Vermont,ARTHRITIS,22.8719188767551
Wisconsin,ARTHRITIS,22.6890194075587
"North Dakota",ARTHRITIS,23.5610607117934
Iowa,ARTHRITIS,23.4993029150824
Florida,ARTHRITIS,22.6272264013589
Maryland,ARTHRITIS,23.5061643835616
Oregon,ARTHRITIS,23.6973902728351
Illinois,ARTHRITIS,22.296642394822
Virginia,ARTHRITIS,23.9341278295606
"South Dakota",ARTHRITIS,22.7909351692484
Montana,ARTHRITIS,24.4962634730539
Texas,ARTHRITIS,21.4272746309287
Wyoming,ARTHRITIS,21.8354385964912
Michigan,ARTHRITIS,25.4587931775835
Arizona,ARTHRITIS,23.0005608524958
Maine,ARTHRITIS,25.7583273251622
"District of Columbia",ARTHRITIS,18.7
Delaware,ARTHRITIS,23.3007766990291
Kansas,ARTHRITIS,22.7502077562327
Nevada,ARTHRITIS,24.0207808564232
Georgia,ARTHRITIS,22.834525377368
"North Carolina",ARTHRITIS,24.5001660735469
Alaska,ARTHRITIS,22.1013321492007
Ohio,ARTHRITIS,26.2089275993468
Indiana,ARTHRITIS,25.2958345555882
Missouri,ARTHRITIS,25.2070461588648
"South Carolina",ARTHRITIS,24.3983741356756
"New Mexico",ARTHRITIS,22.2746323529412
Arkansas,ARTHRITIS,25.0669525065963
Oklahoma,ARTHRITIS,25.3494398805078
Tennessee,ARTHRITIS,27.2634142897487
Alabama,ARTHRITIS,26.5949142519219
Louisiana,ARTHRITIS,26.5173051519155
Mississippi,ARTHRITIS,26.4831437435367
"West Virginia",ARTHRITIS,31.7570527522936
Hawaii,OBESITY,26.50964332893
Massachusetts,OBESITY,29.106293055297
"New Jersey",OBESITY,28.7962077138548
"New York",OBESITY,32.4245157657658
Connecticut,OBESITY,30.7140049820094
California,OBESITY,29.033777737193
Minnesota,OBESITY,35.4323423423423
"Rhode Island",OBESITY,32.0781335773102
Utah,OBESITY,32.5675381263617
"New Hampshire",OBESITY,31.7238912732475
Colorado,OBESITY,25.8163375224417
Idaho,OBESITY,33.7122404371585
Washington,OBESITY,34.1363504706734
Nebraska,OBESITY,38.4769459172853
Vermont,OBESITY,28.8678627145086
Wisconsin,OBESITY,37.9006469186244
"North Dakota",OBESITY,37.9165387299372
Iowa,OBESITY,38.1757604562738
Florida,OBESITY,33.4829491223813
Maryland,OBESITY,36.8619765166341
Oregon,OBESITY,33.704009489917
Illinois,OBESITY,36.2845604099245
Virginia,OBESITY,36.1529960053262
"South Dakota",OBESITY,35.8986804360298
Montana,OBESITY,32.817005988024
Texas,OBESITY,36.4829965448644
Wyoming,OBESITY,33.9250877192982
Michigan,OBESITY,37.1408341694138
Arizona,OBESITY,34.3704430734717
Maine,OBESITY,32.7552271088681
"District of Columbia",OBESITY,25.1
Delaware,OBESITY,35.5309708737864
Kansas,OBESITY,36.992243767313
Nevada,OBESITY,33.7044710327456
Georgia,OBESITY,36.0222571168068
"North Carolina",OBESITY,36.8503558718861
Alaska,OBESITY,34.831838365897
Ohio,OBESITY,37.9377789874796
Indiana,OBESITY,38.5734379583456
Missouri,OBESITY,36.806768879465
"South Carolina",OBESITY,35.9555783965614
"New Mexico",OBESITY,35.0786029411765
Arkansas,OBESITY,39.5308047493404
Oklahoma,OBESITY,39.2390092108539
Tennessee,OBESITY,37.5513979101949
Alabama,OBESITY,39.6048097772521
Louisiana,OBESITY,40.0965433729635
Mississippi,OBESITY,40.6410203378145
"West Virginia",OBESITY,40.7703555045872
Hawaii,HIGHCHOL,29.9351387054161
Massachusetts,HIGHCHOL,31.1669335319307
"New Jersey",HIGHCHOL,34.5854557207498
"New York",HIGHCHOL,31.7008671171171
Connecticut,HIGHCHOL,33.4441738167728
California,HIGHCHOL,31.1737923477308
Minnesota,HIGHCHOL,28.9663513513514
"Rhode Island",HIGHCHOL,29.8494967978042
Utah,HIGHCHOL,29.3252100840336
"New Hampshire",HIGHCHOL,29.6536480686695
Colorado,HIGHCHOL,28.6838898862956
Idaho,HIGHCHOL,29.1071402550091
Washington,HIGHCHOL,30.8305394641564
Nebraska,HIGHCHOL,28.6527465535525
Vermont,HIGHCHOL,26.69375975039
Wisconsin,HIGHCHOL,29.4933094994893
"North Dakota",HIGHCHOL,30.4249825540823
Iowa,HIGHCHOL,30.6383079847909
Florida,HIGHCHOL,33.1795195340937
Maryland,HIGHCHOL,33.2732093933464
Oregon,HIGHCHOL,29.69162514828
Illinois,HIGHCHOL,31.5338727076591
Virginia,HIGHCHOL,33.805206391478
"South Dakota",HIGHCHOL,29.3458405048767
Montana,HIGHCHOL,27.5387305389222
Texas,HIGHCHOL,32.3803214323108
Wyoming,HIGHCHOL,28.9038596491228
Michigan,HIGHCHOL,30.3983517271033
Arizona,HIGHCHOL,31.8725743129557
Maine,HIGHCHOL,30.7410237923576
"District of Columbia",HIGHCHOL,33.3
Delaware,HIGHCHOL,34.9415533980582
Kansas,HIGHCHOL,32.4783587257618
Nevada,HIGHCHOL,33.1176322418136
Georgia,HIGHCHOL,33.5090061797184
"North Carolina",HIGHCHOL,31.5125622775801
Alaska,HIGHCHOL,30.0660301953819
Ohio,HIGHCHOL,31.5108002177463
Indiana,HIGHCHOL,33.4458052214726
Missouri,HIGHCHOL,32.477426194748
"South Carolina",HIGHCHOL,32.8930293403102
"New Mexico",HIGHCHOL,30.1828308823529
Arkansas,HIGHCHOL,33.1457783641161
Oklahoma,HIGHCHOL,33.5465521533483
Tennessee,HIGHCHOL,33.9447754871505
Alabama,HIGHCHOL,35.6332544845259
Louisiana,HIGHCHOL,33.8536107441656
Mississippi,HIGHCHOL,34.0619786280593
"West Virginia",HIGHCHOL,36.2260321100917
Hawaii,DEPRESSION,16.8068031704095
Massachusetts,DEPRESSION,24.5276857196053
"New Jersey",DEPRESSION,15.6503770739065
"New York",DEPRESSION,20.4990540540541
Connecticut,DEPRESSION,21.275698865209
California,DEPRESSION,21.73162268286
Minnesota,DEPRESSION,24.9223423423423
"Rhode Island",DEPRESSION,23.8881061299177
Utah,DEPRESSION,26.6479925303455
"New Hampshire",DEPRESSION,23.7324749642346
Colorado,DEPRESSION,22.9882226211849
Idaho,DEPRESSION,23.5189435336976
Washington,DEPRESSION,26.3241491672701
Nebraska,DEPRESSION,18.568854718982
Vermont,DEPRESSION,27.8375975039002
Wisconsin,DEPRESSION,24.0414538644876
"North Dakota",DEPRESSION,21.4661549197488
Iowa,DEPRESSION,21.4558618504436
Florida,DEPRESSION,19.4316266278411
Maryland,DEPRESSION,20.4103326810176
Oregon,DEPRESSION,27.9226334519573
Illinois,DEPRESSION,21.2493932038835
Virginia,DEPRESSION,22.8181091877497
"South Dakota",DEPRESSION,21.9737808376363
Montana,DEPRESSION,25.6791856287425
Texas,DEPRESSION,22.1263584964925
Wyoming,DEPRESSION,22.4466666666667
Michigan,DEPRESSION,27.8661459079834
Arizona,DEPRESSION,20.9159282108805
Maine,DEPRESSION,28.4084354722422
"District of Columbia",DEPRESSION,21.0
Delaware,DEPRESSION,22.0600970873786
Kansas,DEPRESSION,21.3204293628809
Nevada,DEPRESSION,22.1058564231738
Georgia,DEPRESSION,19.5012055516158
"North Carolina",DEPRESSION,25.3331198102017
Alaska,DEPRESSION,19.9759325044405
Ohio,DEPRESSION,26.5432553075667
Indiana,DEPRESSION,25.6431651510707
Missouri,DEPRESSION,25.1232099168162
"South Carolina",DEPRESSION,23.1243879648664
"New Mexico",DEPRESSION,23.9824632352941
Arkansas,DEPRESSION,25.313555408971
Oklahoma,DEPRESSION,26.0159322877769
Tennessee,DEPRESSION,29.0061988138944
Alabama,DEPRESSION,24.0801695249359
Louisiana,DEPRESSION,27.2368339938353
Mississippi,DEPRESSION,20.0832126852809
"West Virginia",DEPRESSION,31.9501720183486
