State,LifeExpectancy,DiseaseBurden,ScreeningRate,LifestyleRisk,SocialRisk,AccessBarrier,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE,BINGE,CSMOKING,LPA,SLEEP,ACCESS2,BPMED,CHECKUP,CHOLSCREEN,COLON_SCREEN,DENTAL,MAMMOUSE,LONELINESS,FOODSTAMP,FOODINSECU,HOUSINSECU,SHUTUTILITY,LACKTRPT,EMOTIONSPT
Colorado,78.5,14.8,66.7,19.6,,10.2,21.4962657091562,25.5115978456014,7.35959305804907,10.8353201675643,4.72162776780371,4.79820466786355,22.9882226211849,7.78104129263914,28.6838898862956,25.8163375224417,2.50718132854578,19.7639018551765,10.8070975463794,16.6453740275284,31.2130819868342,10.1736684619988,50.3927707959306,70.401196888091,84.7340275284261,58.2900777977259,64.6063076002394,71.5085577498504,,,,,,,
Idaho,78.4,16.5,64.7,21.7,15.4,13.7,23.7451001821494,29.49970856102,6.90247723132969,10.6931511839709,5.63016393442623,6.16528233151184,23.5189435336976,9.7616393442623,29.1071402550091,33.7122404371585,3.02699453551913,16.0575956284153,12.9900910746812,23.8451001821494,33.9286703096539,13.6667759562842,51.1953005464481,72.1735883424408,78.9983242258652,54.7087795992714,63.3897996357013,67.8867030965392,30.2452823315118,10.9924225865209,15.8308196721311,12.9084153005464,8.18225865209472,8.77111111111111,20.9353369763206
Washington,78.4,16.7,66.8,20.5,,9.4,23.3158218682114,29.0671976828385,7.13325488776249,11.1741853729182,5.02358797972484,5.08750905141202,26.3241491672701,9.16602099927589,30.8305394641564,34.1363504706734,2.78044895003621,17.6837979724837,11.5371832005793,19.0764120202752,33.7298696596669,9.39574583635047,51.7210535843592,68.8649710354815,81.6337798696597,61.0128167994207,64.4288921071687,72.9818971759594,,,,,,,
Nebraska,78.3,16.1,67.9,23.2,13.4,8.9,21.744506892895,29.8863308589608,7.32682926829268,9.25747613997879,5.32186638388123,5.61728525980912,18.568854718982,9.19235418875928,28.6527465535525,38.4769459172853,2.74273594909862,22.1497667020148,14.12901378579,24.7267656415695,31.7845599151644,8.93261930010605,58.8404665959703,73.3171580063627,81.8756627783669,55.7294909862142,63.7168716861082,73.7093955461294,30.0292152704136,8.4981230116649,11.8255567338282,9.49864262990456,6.62302226935313,6.64755037115589,20.4959066808059
Vermont,78.3,15.6,69.5,19.6,,6.4,22.8719188767551,26.5580343213729,7.67223088923557,11.2195007800312,4.81388455538221,5.34414976599064,27.8375975039002,7.01216848673947,26.69375975039,28.8678627145086,2.61107644305772,18.8477379095164,11.6784711388456,17.7616224648986,29.9959438377535,6.35663026521061,54.3388455538221,72.988143525741,83.5321372854914,62.3404056162246,68.0335413416537,75.4719188767551,,,,,,,
Wisconsin,78.1,16.8,71.2,23.5,14.6,8.4,22.6890194075587,29.4784133469527,6.98227783452503,10.8926455566905,5.35022131426626,5.52248893428669,24.0414538644876,9.66048689138577,29.4933094994893,37.9006469186244,2.81595165134491,20.8670071501532,13.967568947906,25.6534559073885,33.6536942458291,8.39782090568607,58.0592271024855,75.4369935308138,84.1221995233231,63.4784133469527,66.3880660537964,79.9044092611508,31.6419305413687,13.2397854954035,12.8015321756895,10.6663602315288,6.09043241402792,7.1916581545795,20.8300646918624
"North Dakota",77.9,16.8,68.3,23.4,13.4,7.6,23.5610607117934,30.8738311235171,7.26789951151431,10.1288206559665,5.63210048848569,5.81144452198186,21.4661549197488,9.21123517096999,30.4249825540823,37.9165387299372,2.85889741800419,22.6883461270063,14.9193998604327,22.2909281228193,33.6572226099093,7.63670621074669,58.6636427076064,72.3725052337753,81.3002093510119,58.2050942079553,63.1485694347523,76.0246336357292,29.904605722261,7.62072575017446,11.7583391486392,9.87355198883461,6.56650383810188,6.982135380321,21.4394975575715
Iowa,77.9,16.8,70.4,23.7,15.0,7.6,23.4993029150824,30.4675538656527,7.23307984790875,10.0182192648923,5.37072243346008,5.95491128010139,21.4558618504436,9.69432826362484,30.6383079847909,38.1757604562738,2.80259822560203,22.2511723700887,15.0141951837769,23.8973700887199,33.5989543726236,7.63929024081115,58.9080481622307,75.5676489226869,82.5955956907478,60.9569708491762,66.0147972116603,78.0796894803549,33.0729404309252,10.5836501901141,12.6873574144487,10.3731305449937,7.07756653992395,7.1867237008872,23.9946134347275
Florida,77.9,16.6,68.2,23.2,,14.8,22.6272264013589,31.466424007118,7.35738898325649,9.74140580765186,5.70512820512821,6.24570897031465,19.4316266278411,10.5175604626709,33.1795195340937,33.4829491223813,2.98027986734611,17.4399013184502,13.5176737037936,23.7782981476988,38.0368195421823,14.8414624282132,57.9813961012699,75.4348459111866,84.295251961498,60.1598560220011,57.0531828844132,74.2862169376365,,,,,,,
Maryland,77.8,17.3,71.9,22.5,17.6,9.1,23.5061643835616,34.3279256360078,6.4693542074364,10.856457925636,5.00953033268102,5.41845401174168,20.4103326810176,11.2132681017613,33.2732093933464,36.8619765166341,3.03818003913894,15.3977886497065,11.7269471624266,23.6310371819961,39.2586692759295,9.06925636007828,58.9116634050881,77.9166340508806,88.14771037182,63.0689628180039,62.9037377690802,80.3092367906067,35.5173581213307,13.0186301369863,16.5138747553816,14.9504109589041,9.40356164383562,8.54951076320939,25.1206849315068
